Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides V-Day1-1	Peptides V-Day1-2	Peptides V-Day1-3	Peptides V-Day2-1	Peptides V-Day2-2	Peptides V-Day2-3	Peptides V-Mock1	Peptides V-Mock2	Peptides V-Mock3	Razor + unique peptides V-Day1-1	Razor + unique peptides V-Day1-2	Razor + unique peptides V-Day1-3	Razor + unique peptides V-Day2-1	Razor + unique peptides V-Day2-2	Razor + unique peptides V-Day2-3	Razor + unique peptides V-Mock1	Razor + unique peptides V-Mock2	Razor + unique peptides V-Mock3	Unique peptides V-Day1-1	Unique peptides V-Day1-2	Unique peptides V-Day1-3	Unique peptides V-Day2-1	Unique peptides V-Day2-2	Unique peptides V-Day2-3	Unique peptides V-Mock1	Unique peptides V-Mock2	Unique peptides V-Mock3	Sequence length	Sequence lengths	Intensity V-Day1-1	Intensity V-Day1-2	Intensity V-Day1-3	Intensity V-Day2-1	Intensity V-Day2-2	Intensity V-Day2-3	Intensity V-Mock1	Intensity V-Mock2	Intensity V-Mock3	LFQ intensity V-Day1-1	LFQ intensity V-Day1-2	LFQ intensity V-Day1-3	LFQ intensity V-Day2-1	LFQ intensity V-Day2-2	LFQ intensity V-Day2-3	LFQ intensity V-Mock1	LFQ intensity V-Mock2	LFQ intensity V-Mock3	Protein IDs	Majority protein IDs
			4	4	4	7.7	7.7	7.7	71.392	0	25.883	5845700	5	4	4	4	NaN	1	0	0	1	3	4	1	0	0	1	0	0	1	3	4	1	0	0	1	0	0	1	3	4	1	0	0	1	625	625	0	0	25283	512860	4663200	626920	0	0	17435	10.6856141406244	9.56506879077471	13.2529314787248	14.1066447235599	14.546653347655	13.4084624328844	11.6789004153959	12.5164954570119	14.1948337879	tr|A0A0D9QUJ7|A0A0D9QUJ7_CHLSB	tr|A0A0D9QUJ7|A0A0D9QUJ7_CHLSB
			2	2	2	1.7	1.7	1.7	173.06	0.0019048	11.362	471330	3	2	2	2	NaN	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1555	1555	0	17281	43236	0	410820	0	0	0	0	11.3980454615611	12.3291235962916	13.1908432260529	10.1478346018639	11.6093172745479	10.8185886858091	11.6561852394381	13.0950911335457	12.7493123272088	tr|A0A0D9QUN2|A0A0D9QUN2_CHLSB	tr|A0A0D9QUN2|A0A0D9QUN2_CHLSB
			1	1	1	9.5	9.5	9.5	22.589	0.0064935	6.6272	2429200	1	1	1	1	NaN	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	199	199	0	0	1618400	0	0	810750	0	0	0	11.3094246720333	10.5472284130778	13.3279736026139	9.07130455733193	9.32871683352322	12.8883627411706	12.2248749756332	12.1214475981347	10.6266204479929	tr|A0A0D9QUP1|A0A0D9QUP1_CHLSB	tr|A0A0D9QUP1|A0A0D9QUP1_CHLSB
			18	18	17	58.4	58.4	58.4	35.846	0	245.69	174780000	62	18	18	17	NaN	1	2	8	12	11	15	14	0	0	1	2	8	12	11	15	14	0	0	1	2	8	11	10	14	13	0	0	1	320	320	251500	3671600	32823000	8516000	58608000	70884000	0	0	29453	14.7170873165582	16.6871569441389	17.6595499968799	18.4426519735952	18.0798389139925	19.155411200547	12.670797123745	13.1298045487914	15.380088979286	tr|A0A0D9QUP4|A0A0D9QUP4_CHLSB	tr|A0A0D9QUP4|A0A0D9QUP4_CHLSB
			2	2	2	2.7	2.7	2.7	85.182	0.0019175	11.504	653820	2	2	2	2	NaN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	769	769	0	0	0	0	653820	0	0	0	0	12.3208609188613	10.6699914503964	10.0953181749052	9.9646420583067	11.9876193119243	9.65764959309521	12.5759305283212	12.191539453156	12.1899935899079	tr|A0A0D9QUU5|A0A0D9QUU5_CHLSB	tr|A0A0D9QUU5|A0A0D9QUU5_CHLSB
			7	7	6	23.9	23.9	20.4	33.427	0	50.871	16703000	15	7	7	6	NaN	1	3	6	5	3	3	1	0	1	0	3	6	5	3	3	1	0	1	0	3	5	4	2	2	1	0	1	0	318	318	351560	2453200	8630000	930020	4303700	0	0	34142	0	15.3360183263319	15.5351538506939	15.0949024127514	15.141109273847	15.0771077799988	9.97998741747932	12.0499325955433	15.5050982159295	12.4767104363829	tr|A0A0D9QUW2|A0A0D9QUW2_CHLSB	tr|A0A0D9QUW2|A0A0D9QUW2_CHLSB
+			1	1	1	0.4	0.4	0.4	294.32	1	-2	61297000	8	1	1	1	NaN	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	2513	2513	0	8112500	22894000	2446100	18902000	8941900	0	0	0	11.0251744768251	17.7391872743584	17.168495844123	16.3350762663421	16.3331378757009	16.4111633805657	11.5632220967127	12.4532401256085	12.9585569206724	tr|A0A0D9QUX2|A0A0D9QUX2_CHLSB	tr|A0A0D9QUX2|A0A0D9QUX2_CHLSB
			2	2	2	5.7	5.7	5.7	55.334	0	17.471	1475800	3	2	2	2	NaN	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	489	489	0	0	0	0	866440	609360	0	0	0	12.424605482013	11.1884560279541	9.77291554765644	11.1010556428966	12.393819447944	9.58327203461049	13.2244243069637	12.9756222080247	10.9815837625371	tr|A0A0D9QUX4|A0A0D9QUX4_CHLSB	tr|A0A0D9QUX4|A0A0D9QUX4_CHLSB
			1	1	1	2.4	2.4	2.4	66.678	0.0025862	7.146	444880	1	1	1	1	NaN	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	581	581	0	0	444880	0	0	0	0	0	0	11.87361796671	9.80357358766585	12.6627351242066	11.5130945730687	10.4793981902864	9.35494473576171	11.8703312121826	12.0148881968584	12.1912719399401	tr|A0A0D9QUY7|A0A0D9QUY7_CHLSB	tr|A0A0D9QUY7|A0A0D9QUY7_CHLSB
			4	4	4	7.5	7.5	7.5	121.03	0	30.756	1326200	4	4	4	4	NaN	1	0	0	1	1	4	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	1	4	0	0	0	0	1087	1087	0	0	56404	84043	1185800	0	0	0	0	12.8666788538996	10.5387921462399	13.3103287586168	12.4312364120711	12.3835423041466	10.6201976706884	11.9118435830118	13.1895283697425	12.1408487303277	tr|A0A0D9QV00|A0A0D9QV00_CHLSB	tr|A0A0D9QV00|A0A0D9QV00_CHLSB
			4	4	4	24	24	24	16.445	0	24.688	18843000	8	4	4	4	NaN	1	1	2	3	0	1	2	0	1	0	1	2	3	0	1	2	0	1	0	1	2	3	0	1	2	0	1	0	146	146	88159	986360	12016000	0	631940	4979900	0	140400	0	11.4407163647439	14.956603035333	15.9843294447619	9.56768646710852	12.0659882521058	15.4605838799017	10.8776393500137	16.2826178952172	10.9580954702852	tr|A0A0D9QV09|A0A0D9QV09_CHLSB	tr|A0A0D9QV09|A0A0D9QV09_CHLSB
			7	7	7	11.1	11.1	11.1	103.53	0	84.342	13628000	10	7	7	7	NaN	1	0	3	3	3	7	1	0	0	0	0	3	3	3	7	1	0	0	0	0	3	3	3	7	1	0	0	0	942	942	0	744920	566380	394240	11832000	90634	0	0	0	10.4023461340826	15.5349411556863	15.7361905009609	14.4442384380781	15.5413386579708	11.1231514327736	12.9010451911502	11.8924168735429	11.8650687576776	tr|A0A0D9QV68|A0A0D9QV68_CHLSB	tr|A0A0D9QV68|A0A0D9QV68_CHLSB
+			1	1	1	0.8	0.8	0.8	131.94	1	-2	2068800	3	1	1	1	NaN	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1218	1218	0	826700	0	540220	701910	0	0	0	0	11.2268887276448	14.406138556991	10.7405862641307	14.096632806531	12.0899800562493	10.7935229893202	11.9978938768972	12.2336519970486	10.4072744508799	tr|A0A0D9QV80|A0A0D9QV80_CHLSB	tr|A0A0D9QV80|A0A0D9QV80_CHLSB
			4	4	4	12.9	12.9	12.9	46.451	0	65.846	11362000	6	4	4	4	NaN	1	0	0	1	0	2	3	0	0	0	0	0	1	0	2	3	0	0	0	0	0	1	0	2	3	0	0	0	418	418	0	0	946700	0	4142700	6273100	0	0	0	11.446019622074	10.1839874096157	13.298062567719	10.8821793966439	14.4144209817464	15.7643014477245	12.3315637291666	12.5285618098536	12.9940321270792	tr|A0A0D9QV84|A0A0D9QV84_CHLSB	tr|A0A0D9QV84|A0A0D9QV84_CHLSB
			22	22	22	83.5	83.5	83.5	26.688	0	320.67	438740000	105	22	22	22	NaN	1	12	19	19	14	16	16	4	4	5	12	19	19	14	16	16	4	4	5	12	19	19	14	16	16	4	4	5	243	243	4728600	44179000	146240000	22065000	112950000	107710000	352840	217260	295790	18.9452666435977	19.9296051686533	19.9070813690819	19.3522072650345	18.9458952937998	20.2224647505125	18.5730776057569	18.7119626656335	18.3829616965685	tr|A0A0D9QV93|A0A0D9QV93_CHLSB	tr|A0A0D9QV93|A0A0D9QV93_CHLSB
			1	1	1	3.2	3.2	3.2	45.626	0	25.183	0	1	1	1	1	NaN	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	406	406	0	0	0	0	0	0	0	0	0	13.0570033803018	10.6612148672146	9.70443536822857	9.8029163796766	9.06121810524675	9.74221891760922	12.9737918229699	12.1238154441473	13.8030285939703	tr|A0A0D9QV99|A0A0D9QV99_CHLSB	tr|A0A0D9QV99|A0A0D9QV99_CHLSB
			29	29	28	64.2	64.2	63	64.132	0	323.31	1505900000	347	29	29	28	NaN	1	12	24	24	24	27	21	4	1	3	12	24	24	24	27	21	4	1	3	12	24	23	23	26	20	4	1	3	589	589	14732000	145640000	314740000	96542000	803430000	130450000	183140	23596	153360	20.8570363707193	22.0492303697897	22.1009805213155	21.8598441309361	22.4670492528943	20.8856159486651	17.532827695147	15.7185596320348	16.6681647862776	tr|A0A0D9QVC3|A0A0D9QVC3_CHLSB	tr|A0A0D9QVC3|A0A0D9QVC3_CHLSB
			1	1	1	1.8	1.8	1.8	104.76	0.009539	6.3871	996590	1	1	1	1	NaN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	942	942	0	0	0	0	996590	0	0	0	0	11.3771055420665	9.52030976651691	9.49848794089512	9.36476634582992	13.8413677818823	10.5924479587717	12.8477099771741	11.6475013473164	11.4032768875654	tr|A0A0D9QVC9|A0A0D9QVC9_CHLSB	tr|A0A0D9QVC9|A0A0D9QVC9_CHLSB
			12	12	12	13.1	13.1	13.1	151.73	0	202.5	37621000	26	12	12	12	NaN	1	0	8	12	1	7	3	0	0	0	0	8	12	1	7	3	0	0	0	0	8	12	1	7	3	0	0	0	1401	1401	0	1242300	22469000	38036	11590000	2281000	0	0	0	10.8789541075251	17.1538290810838	19.1422067977043	15.9369829300466	17.6847623154417	15.9129594863191	10.9241692499881	11.9088646444172	12.9808112756368	tr|A0A0D9QVD3|A0A0D9QVD3_CHLSB	tr|A0A0D9QVD3|A0A0D9QVD3_CHLSB
			3	3	3	13.5	13.5	13.5	36.619	0	27.567	6316500	6	3	3	3	NaN	1	0	1	2	1	2	2	0	0	0	0	1	2	1	2	2	0	0	0	0	1	2	1	2	2	0	0	0	340	340	0	52428	2570000	139840	2774100	780100	0	0	0	12.3681538341488	11.0564345043176	13.9997358104603	12.3467630252852	12.981549444317	13.4806639976193	12.6391731164108	11.6065485198127	11.5889963414256	tr|A0A0D9QVD5|A0A0D9QVD5_CHLSB	tr|A0A0D9QVD5|A0A0D9QVD5_CHLSB
			2	2	2	6.7	6.7	6.7	34.304	0	12.698	1406700	5	2	2	2	NaN	1	0	2	2	0	1	0	0	0	0	0	2	2	0	1	0	0	0	0	0	2	2	0	1	0	0	0	0	314	314	0	712220	694490	0	0	0	0	0	0	11.2599631745287	14.0328206056752	12.6337672139609	10.8074392914065	9.91718664373738	11.4764653831329	11.9068968238195	12.5740320181008	13.7740308164879	tr|A0A0D9QVE6|A0A0D9QVE6_CHLSB	tr|A0A0D9QVE6|A0A0D9QVE6_CHLSB
			2	2	2	6.4	6.4	6.4	70.877	0	13.229	720240	1	2	2	2	NaN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	624	624	0	0	0	0	720240	0	0	0	0	11.7574415499185	10.152365199992	11.5180130547872	11.9175465141938	12.1271883010432	10.380343648931	12.7632806032772	12.9046699526178	12.8262859819433	tr|A0A0D9QVF0|A0A0D9QVF0_CHLSB	tr|A0A0D9QVF0|A0A0D9QVF0_CHLSB
			3	3	3	11.2	11.2	11.2	45.613	0	26.287	9542500	4	3	3	3	NaN	1	1	2	3	0	1	3	1	0	0	1	2	3	0	1	3	1	0	0	1	2	3	0	1	3	1	0	0	411	411	42079	592660	2681400	0	1474300	4714400	37618	0	0	13.9106427304696	14.5206186805563	14.4321503779178	12.3367986075813	14.2114320582988	14.410451351504	15.2306209331299	13.7094028095208	12.2662287426918	tr|A0A0D9QVF5|A0A0D9QVF5_CHLSB	tr|A0A0D9QVF5|A0A0D9QVF5_CHLSB
			46	46	34	63.5	63.5	51.5	69.147	0	323.31	1429500000	416	46	46	34	NaN	1	19	35	35	30	40	25	5	7	4	19	35	35	30	40	25	5	7	4	15	24	25	19	29	17	1	3	1	614	614	37615000	241200000	256750000	127920000	634900000	130500000	230130	226820	187500	21.7320647169207	22.979752431916	22.4736036961976	22.5160260383953	22.3078033778219	20.4592394855883	17.9173021436245	18.6867467185428	17.6924792891617	tr|A0A0D9QVI6|A0A0D9QVI6_CHLSB	tr|A0A0D9QVI6|A0A0D9QVI6_CHLSB
			13	13	7	18.9	18.9	11	104.85	0	101.14	15203000	21	NaN	NaN	NaN	NaN	3	1	1	3	6	12	4	1	1	1	1	1	3	6	12	4	1	1	1	0	0	1	3	7	0	0	0	0	911	NaN	28703	40378	522670	1532200	10464000	2513300	35364	36570	29427	15.2264874566353	14.2970595518087	13.4548133485125	15.5732921499522	16.616118038508	15.4312364120711	15.4749733843911	15.9884627985482	15.2985638142949	tr|A0A0D9QVJ0|A0A0D9QVJ0_CHLSB;tr|A0A0D9RBH8|A0A0D9RBH8_CHLSB;tr|A0A0D9R7J8|A0A0D9R7J8_CHLSB	tr|A0A0D9QVJ0|A0A0D9QVJ0_CHLSB
			8	6	6	22.5	19.8	19.8	43.322	0	77.805	42930000	17	8	6	6	NaN	1	1	3	4	4	5	6	0	0	0	0	2	2	2	3	5	0	0	0	0	2	2	2	3	5	0	0	0	373	373	0	677000	5697000	1116600	22586000	12853000	0	0	0	12.1540431280218	14.538007007119	14.9250907744217	15.3287800966361	16.4104016619414	16.7376698631775	12.6399862370489	12.5333736239694	12.8359750559332	tr|A0A0D9QVJ9|A0A0D9QVJ9_CHLSB	tr|A0A0D9QVJ9|A0A0D9QVJ9_CHLSB
			5	5	5	30.9	30.9	30.9	25.193	0	89.719	14403000	13	5	5	5	NaN	1	1	2	5	1	2	4	0	0	0	1	2	5	1	2	4	0	0	0	1	2	5	1	2	4	0	0	0	230	230	49724	502250	7439300	257130	3051100	3103400	0	0	0	13.7084372989653	14.2173519052703	15.2942617534333	13.4812949046311	13.6353780358504	14.5604522576669	12.8438726760116	13.6761653224781	12.4302860667693	tr|A0A0D9QVK4|A0A0D9QVK4_CHLSB	tr|A0A0D9QVK4|A0A0D9QVK4_CHLSB
			2	2	2	11.1	11.1	11.1	23.461	0	12.378	1447300	2	NaN	NaN	NaN	NaN	3	0	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	208	NaN	0	0	0	0	72658	1374700	0	0	0	11.5778120319323	10.8262120754365	10.117045498039	10.2485221003887	13.2634452712035	13.9667757967095	13.4515562096858	11.7353259675613	13.2181847588551	tr|A0A0D9RE92|A0A0D9RE92_CHLSB;tr|A0A0D9QVN1|A0A0D9QVN1_CHLSB;tr|A0A0D9S2E3|A0A0D9S2E3_CHLSB	tr|A0A0D9RE92|A0A0D9RE92_CHLSB;tr|A0A0D9QVN1|A0A0D9QVN1_CHLSB;tr|A0A0D9S2E3|A0A0D9S2E3_CHLSB
			3	3	3	17.5	17.5	17.5	24.263	0	19.915	2614000	6	3	3	3	NaN	1	1	0	2	0	1	3	0	0	0	1	0	2	0	1	3	0	0	0	1	0	2	0	1	3	0	0	0	223	223	26778	0	889410	0	221520	1476300	0	0	0	12.4659744645041	11.1698001211946	12.1985678187845	9.76335661776218	11.273154517968	13.4441089961471	12.7333429351227	12.8912799512075	12.9542212916894	tr|A0A0D9QVQ1|A0A0D9QVQ1_CHLSB	tr|A0A0D9QVQ1|A0A0D9QVQ1_CHLSB
